Key,zh-Hans,en,ja
[Wait],??,Wait,???
[WaitContent],????????,Wait Processing Finish!,?????????????????
[ReloadGame],??????,Reload Game,???????????
[ReloadGameContent],?????????,Will reload game. Are you sure?,?????????????
[BackMenu],????,Back To Menu,???????
[BackMenuContent],???????,Will back to menu. Are you sure?,???????????
[BackTitle],????,Back To title,???????
[BackTitleContent],???????,Will back to title. Are you sure?,???????????
[SaveLog],????,Save Log,?????
[SavePath],????,Log Path,????
[Failure],??,Failure,??
[Exit],????,Exit,?????????
[ExitContent],???????,Will exit. Are you sure?,???????????
